File path,Line number,File containing the searched text
working_dir.Awesome/cool.txt,1,Skip to main content
working_dir.Awesome/hot.txt,1,We use cookies to ensure you have the best browsing experience on our website.
working_dir.Awesome/lab.txt,1,We use cookies to ensure you have the best browsing experience on our website.
working_dir.Awesome/no_no.txt,1,I would love to try or hear the sample audio your app can produce. I do not want to purchase, because I've purchased so many apps that say they do something and do not deliver.
working_dir.Awesome.Oh! Boy!!/dumb.txt,1,We use cookies to ensure you have the best browsing experience on our website.
working_dir.Awesome.Oh! Boy!!.Fine/Josh.txt,1,Dijkstra’s shortest path algorithm | Greedy Algo-7
working_dir.Awesome.Oh! Boy!!.Fine/Serum.txt,1,Top 10 Algorithms and Data Structures for Competitive Programming
working_dir.Awesome.Oh! Boy!!/smart,1,We use cookies to ensure you have the best browsing experience on our website.
working_dir/dd.txt,1,logoDepartment of Computer Science and EngineeringBangladesh University of Engineering and Technology
working_dir/fractals.cpp,1,#include <stdio.h>
working_dir.Hello/My.txt,1,logoDepartment of Computer Science and EngineeringBangladesh University of Engineering and Technology
working_dir.Hello/name.txt,1,Dijkstra’s shortest path algorithm | Greedy Algo-7
working_dir.Hello/What.txt,1, Home Jobs Tools Coding Ground Current Affairs UPSC Notes Online Tutors Whiteboard Net Meeting Tutorix
working_dir.Hello.World/beautiful.txt,1,Skip to main content
working_dir.Hello.World/this.txt,2,Write Interview Experience
working_dir.Hello.World/ugly.txt,1,Top 10 Algorithms and Data Structures for Competitive Programming
working_dir/less,1,CONTRIBUTE
working_dir/myoffline.sh,3,if [ $# -ne 1 ]; then
working_dir/Practice.cpp,1,#include <iostream>
working_dir/sh.html,1,<html>
working_dir/space_remove.sh,1,find . -depth -name '* *' \
working_dir/temp,1,if [ -r txt_files.zip ]; then
working_dir/test.c,1,#include <stdio.h>
working_dir/tree.sh,3,#2 params: #1 is the level #2 is the file name
